job_title,company_name,job_location,job_description,ID
Sales Analytics Analyst,McAfee,"Bengaluru, Karnataka","Bengaluru, Karnataka4+ years experienceWork experience
Preferably 4 or more years of experience in financial IT and/or operational analysis
Working experience in software, data mining, business analytics or similar is also preferred
Education
Required education: Bachelor’s degree equivalent with concentration in sales/data analysis, statistics, finance, business or similar discipline
Preferred education: Master’s degree equivalent with a concentration in sales/data analysis, statistics, finance, business or similar discipline
Skills & Competencies required
Good analytical skills and ability to gain insights from sales data
Solid experience in data analysis and reporting
Experience using sales-related software applications (SAP, Anaplan, SFDC etc.)
Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS)
Shift:
Shift 1 (India)
Primary Location:
India, Bangalore
Posting Statement:
McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.",1
Sales Analytics Analst,McAfee,"Bengaluru, Karnataka","Bengaluru, Karnataka4+ years experienceTake control for the overall analytics of sales performance
Projects include evaluation of sales goals, sales performance as well as preparing sales forecasts
Collaborates with other company departments, such as product operations / IT to maintain organization-wide data standards
Create executive-level presentations and present sales analytical findings
Drives the development of analytic sales plans supporting sales channel leadership
Ability to deconstruct business risk through analytics, diagnose source issues, define solutions, and ensure action is taken
Understanding of predictive modeling for pipeline, bookings, guided selling and lead prioritization
Reports to Director of Sales Operations
Work experience
Preferably 4 or more years of experience in financial IT and/or operational analysis
Working experience in software, data mining, business analytics or similar is also preferred
Education
Required education: Bachelor’s degree equivalent with concentration in sales/data analysis, statistics, finance, business or similar discipline
Preferred education: Master’s degree equivalent with a concentration in sales/data analysis, statistics, finance, business or similar discipline
Skills & Competencies required
Good analytical skills and ability to gain insights from sales data
Solid experience in data analysis and reporting
Experience using sales-related software applications (SAP, Anaplan, SFDC etc.)
Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS)
Shift:
Shift 1 (India)
Primary Location:
India, Bangalore
Posting Statement:
McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.",2
"Specialist, Analytics (Business Analytics)",DBS Bank,"Mumbai, Maharashtra","Mumbai, Maharashtra10+ years experienceBusiness Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Key Accountabilities, KPIs and Job Responsibilities-:
Following are the key deliverables/tracks for the role.
1. Continuously work with business, credit policy and technology teams to improve strategies, identify and plug leakages and drive automated decision making
2. End-to-end ownership of all risk scorecard and model driven strategies across all products
3. Develop and maintain expertise (individually or within the team) to implement risk models in rule engine
4. Track all risk model performance through periodic MIS
5. Optimal use of objective bureau information in the current decision-making framework
6. Help establish clear risk reward measurement based customer strategy with a risk based pricing framework
7. Proactive identification & implementation of process changes, training needs & technology upgrades in partnership w/BAU teams
8. Stakeholder & talent management
a. Timely identification of resource requirements and onboarding + retention of selected team
b. Manage & supervise team, maintaining team productivity and motivation levels
c. Creating knowledge depth in the team by regular training & knowledge assessments, upskilling – to aid in business continuity
d. Constant compliance to laid down training & certification requirements
e. Maintaining professional & cordial working relationships with various business and support functions
Experience-: Experience of working in risk analytics for asset business in a bank / FI Exposure to and familiarity with technology solutions for banking and of industry trends Knowledge of Indian banking and regulatory guidelines Minimum 10 years experience in analytics Experience of multi-tasking, managing multiple stakeholders and independently having CXO level interactions Analytics tool expertise (SAS mandatory)
Requirements
Competencies, traits & desired levels of proficiency:
1. Problem solving - HIGHLY ADVANCED
2. Multi-tasking in high complexity & time critical situations - HIGHLY ADVANCED
3. Self driven - ADVANCED
4. Planning & organising - ADVANCED
5. Change / innovation orientation - HIGHLY ADVANCED
6. Ownership of result - HIGHLY ADVANCED
7. Teamwork & collaboration – HIGHLY ADVANCED
8. Communication - ADVANCED
9. Leadership - ADVANCED
10. Developing & Coaching - ADVANCED
11. Business Focus - ADVANCED
12. Customer Focus - ADVANCED",3
"Business Analysis, Computing-Business Analyst",Wipro LTD,"Bengaluru, Karnataka","Bengaluru, Karnataka8+ years experienceMandatory Skills:
Business Analysis, Computing
Job Description:
a. tMinimum 8+ years of experience as Business Analyst in Financial nb. tPayment/Credit(preferred) Card processing Domain or any other Financial domain nc. tStrong English written and Verbal skills nd. tPreferably should have some experience in working with teams building Financial software
Roles & Responsibilities:
Minimum Experience Required: 5-8 YEARSMandatory Skills: Business Analysis, Computing Business Analysis, Statistical Analysis, Business Analytics, SAS for Statistics, Statistical ModelingDesirable Skills:
Language Skills: English Language",4
Manager Database - Business Analytics,AstraZeneca Ltd,"Bengaluru, Karnataka","Bengaluru, KarnatakaAt AstraZeneca we turn ideas into life changing medicines Working here means being entrepreneurial thinking big and working together to make the impossible a reality Making the impossible a reality can mean taking a chance on an idea and investing in our exceptional capacity for innovation and discovery We champion trying new things and we nurture a test and learn culture that means we are always progressing close to our goals If youre inspired by the possibilities of science to make a difference and ready to discover what you can do join us This position is responsible for using customer level…",5
Business Analytics,Yes Bank,"Mumbai, Maharashtra","Mumbai, Maharashtra2+ years experienceJob Description

Business Analytics - (YES000231)
Description

Position
Business MIS / Analytics
Grade
Manager
Business Unit
Branch Banking
Sub Unit
Reporting to
Reviewer
Responsibilities
Would be responsible for identification, creation and automation of meaningful and relevant analytics and MIS for the central program team with the objective of tracking performance and driving business growth across the bank
Will be required to create various analytics reports, dashboards and MIS to measure, monitor and track performance across customer, branch, and overall bank level for the relevant teams for the channel as well as the top management
Should be able to collaborate and work with various teams in the organization including Finance, Technology and Program team for requirement definition, data acquisition, report design and roll out on a regular basis
Should be able to proactively analyze, ideate and identify new parameters/ presentation styles to make analytics reports more relevant for all the stakeholders
Should be able to standardize and automate all analytics reports to ensure standardization, consistency and TAT adherenceQualifications

Age:
Minimum 25 to Maximum 30 yearsEducation:
Graduation
Past Experience:
Minimum 2-5 years of work experience in Banking & Financial Services Organisations in business analytics / MIS teamsOther Aspects / Skills:-
Should be proficient in Advanced Excel functions (Sumif/Countif, etc.)
Should be independently able to automate and compile MIS reports
Good written and verbal communication skills
Good networking & interpersonal skills
Knowledge of banking products data will be an added advantage",6
Business Analytics Lead Manager (People Management),Paypal,"Bengaluru, Karnataka","Bengaluru, Karnataka5+ years experienceThe Internal Controls Business Analytics Team Leader will be responsible for leading the operations, planning and execution of strategic priorities in an organized, disciplined and predictable fashion. This leader will be a critical partner to define and manage priorities, drive planning and accountability, and constantly manage expectations and ensure forward progress. In other words, ensure delivery team's high performance and teamwork culture, and strong relationship with stakeholders.This position also incorporates a high degree of relationship management, ensuring resources are fully optimized and aligned to meet strategic objectives. This Manager must be highly action oriented to creatively manage multiple high-profile programs simultaneously.Primary Job Responsibilities:
Lead an extremely talented team building efficient, highly scalable, configurable solutions spanning multiple technologies and platforms.
Provide leadership that produces a high-performing team enabling growth in professional development of team members.
Provide leadership in addition to facilitating the team through the appropriate strategy and planning discussions.
Resolve staff and project issues, communicate status and coordinate activities with peer teams across geographies.
Develop effective, matrixed, cross-organization relationships, collaborating and communicating across business and technology stakeholders and multiple geographies.
Influence both peers and leaders, to build consensus while dealing with ambiguity, and make or delegate decisions when necessary
Implement complex projects dealing with the considerable data that will meet business expectations on scope, cost and schedule.Job Requirements:
5-7 years relevant experience in technology management, leading technology teams in a high growth/high velocity environment.
Strong understanding of database principles, SQL, and experience working with big data warehouse or data lake;
Good understanding on Agile methodology and experience on scrum master is a plus;
Demonstrated aptitude for risk identification and mitigation
Effective people management and development skills at all levels, including strong capability in relating to technical staff.
Ability to collaborate effectively with remote teams across geographies and time zones is essential.
Comfortable working in an agile environment and with cross-functional teams, should have appetite to learn and be flexible to pick up new technology.
Customer focused individual with proven experience in delivering complex analysis within short time frames, managing multiple stakeholders.
Organized, deliberate, and reliable in structuring work, and effective as a problem solver.
Bachelors/Master's Degree in relevant field preferred",7
Specialist / Assistant Manager - Information Technology - Business Analytics & Reporting,CMA CGM,"Chennai, Tamil Nadu","Chennai, Tamil NaduContract4+ years experienceCMA CGM, founded by Jacques R. Saadé, is a leading worldwide shipping group. Its 504 vessels call more than 420 ports in the world on all 5 continents. In 2017, they carried 18.9 million TEUs (twenty-foot equivalent units).
Now headed by Rodolphe Saadé, CMA CGM enjoys a continuous growth and keeps innovating to offer its customers new maritime, terrestrial, and logistical solutions.
With a presence in 160 countries and through its 755 agencies network, the Group employs more than 30,000 people worldwide, including 2,400 in its headquarters in Marseilles.Responsibilities
Reporting and Analytics
Develop Dashboards based on Qlik Sense / Qlikview at various timelines as decided by Business.
Support Existing Qlik View & Qlik Sense Dashboards.
Develop and Support ETL Packages on SSIS
Database Management which involves Extraction and Consolidation of data from various data sources via SQL, Cognos and Flat Files etc.
Coordinate/Communicate with different Agencies/Departments of CMA-CGM and collect relevant information which is used in the reporting activity
Receive, Analyse and Resolve queries regarding Dashboards/KPI Reports from Global/Internal Stakeholders.
Key Deliverables
Develop and Publish error free Dashboard
Receive, Analyse and Resolve queries raised by user within timelines agreed as per SLA
Continually improve current process w.r.t. turnaround time and create new KPIs or reportsProfile:
Education : Graduate in Computer stream (BSc IT / BCS)
Experience : 4 to 10 years
Must have good hands-on experience in:
Qlik Sense / Qlik View
SSIS or relevant ETL Tool
MS SQL
MS Excel
Should possess good structured problem-solving skills in investigating queries from Agencies and implementing automated solutions
Should possess good analytical skills in reading and interpreting reports
Good Interpersonal skillsCome along on CMA CGM’s adventure",8
Professional - Data Analytics,Sutherland,"Hyderabad, Telangana","Hyderabad, Telangana2+ years experienceJob Description
Description - Internal
Executive Summary of the role
Responsible for developing customer solutions in the sales cycle, based on understanding the customer requirements and
aligning those with Sutherland Analytics offerings. Support the sales team with customized presentation, proposal building
and analytics solution design
Job DescriptionRendering support to Presales Team in responding to RFPs & RFIsExperience in preparing business case study, Statement of Work, RFPs & RFIsWork closely with Sales, Marketing and Analytics teams to provide comprehensive solution to the clientIntroduce professional project management practices and streamline the critical planning processes throughout the
project life cycleAnalyze business portfolio and design performance dashboards and other business classification, selection and
prioritization metricsExecute end-to-end management of projects from conceptualization & implementation to technology requirement and
final execution of projects
- Experience in developing predictive analytics-based solutions across customer life cycle- Churn, Up-sell, Cross sell,
Customer Lifetime Value, clustering and segmentation etc.Experience in gathering requirements by interviewing stakeholders, assessing data and providing recommendations to
business challengeExperience in analyzing industry best practices, assisting with business case, planning and monitoring, eliciting
requirements, requirements organization, translating and simplifying requirements and requirement analysisTo hold review meetings to monitor progress of the project as per schedule, and ensuring timely completion and delivery
of project to the clientEngage and coordinate business analysis sessions for understanding business processes and mapping them to required
end state
Skills & Knowledge Required:Good knowledge of Analytics (Machine Learning Techniques and algorithms), Visualization tools and Business analyticsWorking knowledge of statistical tools like R; data management tools (MS Excel, SQL Server) and visualization tools like
Power BI and TableauExcellent communication skillsExperience in service industry is a plusGood research skills & Quest for learning
Qualifications
Our most successful candidates will have:
Be attentive to details
Be able to work in a fast-paced environment
Have good working knowledge in MS Office applications
Be able to adjust quickly and smoothly to changing priorities and conditions
Have ability to interpret data, identify trends, and make suggestions for improvements
Have strong analytical skills; be able to interpret data, identify trends, and make suggestions for improvements
Be pro-active in developing trust and professional rapport with employees and team members; work as a team-player
Have strong verbal and written communication skills; be able to communicate in a clear, constructive, and professional manner
Analytical and Statistical skill
Video Editing and Web designing
Python
Minimum of 2 to 4 years of Implementation and innovation experience
Any graduation or a related technical field
Optional:
.Net, SQL, API call
ML, Data Mining & Auditing
Experience with Oracle DB development such as PL/SQL, Stored Procedures, packages etc.
Description - Internal
Executive Summary of the role
Responsible for developing customer solutions in the sales cycle, based on understanding the customer requirements and
aligning those with Sutherland Analytics offerings. Support the sales team with customized presentation, proposal building
and analytics solution design
Job DescriptionRendering support to Presales Team in responding to RFPs & RFIsExperience in preparing business case study, Statement of Work, RFPs & RFIsWork closely with Sales, Marketing and Analytics teams to provide comprehensive solution to the clientIntroduce professional project management practices and streamline the critical planning processes throughout the
project life cycleAnalyze business portfolio and design performance dashboards and other business classification, selection and
prioritization metricsExecute end-to-end management of projects from conceptualization & implementation to technology requirement and
final execution of projects
- Experience in developing predictive analytics-based solutions across customer life cycle- Churn, Up-sell, Cross sell,
Customer Lifetime Value, clustering and segmentation etc.Experience in gathering requirements by interviewing stakeholders, assessing data and providing recommendations to
business challengeExperience in analyzing industry best practices, assisting with business case, planning and monitoring, eliciting
requirements, requirements organization, translating and simplifying requirements and requirement analysisTo hold review meetings to monitor progress of the project as per schedule, and ensuring timely completion and delivery
of project to the clientEngage and coordinate business analysis sessions for understanding business processes and mapping them to required
end state
Skills & Knowledge Required:Good knowledge of Analytics (Machine Learning Techniques and algorithms), Visualization tools and Business analyticsWorking knowledge of statistical tools like R; data management tools (MS Excel, SQL Server) and visualization tools like
Power BI and TableauExcellent communication skillsExperience in service industry is a plusGood research skills & Quest for learning",9
Business Analytics Consultants,eXample Consulting Group,India,"India10+ years experienceeXample seeks Consultants who can shape, manage and grow our Business Analytics consulting practice in International market. We look for candidates who have: 10+ years experience in IT User and IT Solutions industries in Data Warehousing, BI, OLAP and Analytics space Have minimum DW / BI project implementation experience, preferably with cross-domain projects Have experience both in Onsite consulting, off-shore delivery models along with Training experience. Excellent client facing, solution consulting , negotiation skills with sharp business acumen Passion to grow the practice by demonstrating thought leadership, practice consolidation, new business development and successful project delivery We have multiple positions open for managing single or multiple DW and BI Products namely, Cognos, Business Objects, MS-OLAP, OSA/OFA, EPB, SAP SEM/BIW, Siebel Analytics, Microstrategy, SAS, Proclarity, Hyperion, Teradata, Ascential, Informatica, Oracle Express, Actuate and Abinito. This role has the potential to move up to Partner level in 3-5 years time with immense upside for financial rewards and a highly satisfying career with total autonomy Apply to the Business Analytics Practice",10
