web-scraper-order,web-scraper-start-url,job_title,job_title-href,job_compay,job_location,job_description,title
"1579718684-3114","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=50","Sr Specialist, Data Science","https://www.indeed.co.in/rc/clk?jk=56564d47f14b0c53&fccid=be293f1def77a963&vjs=3","","Gurgaon, Haryana","",""
"1579718934-3247","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=30","Data & Applied Scientist","https://www.indeed.co.in/rc/clk?jk=195dee73f426a7c6&fccid=734cb5a01ee60f80&vjs=3","","","The Communications and Time Management team powers the email and collaboration products that hundreds of millions of users count on every day to connect, organize, and get things done. Through our rich history of bringing email and calendar together in Outlook we have learned the importance of building products that focus on simplicity, reliability, and creating delightful experiences so everyone can cut through the noise and focus on what matters most to them.

We are currently building the next generation of products and features that span our portfolio of our world-class communication applications – Outlook, our flagship email and calendaring brand and Yammer, our solution to help people connect across organizations.

Do you love data? Do you love to collaborate with teams of customer focused engineers and product managers to unlock insights? We believe in putting our customers first and making sure that everything we do aligns with the jobs our customers hire us for. We focus on delivering improvements and functionality at a brisk pace while staying nimble in a changing world, identify the core signals that indicate success, along with the additional metrics that are leading indicators of business growth and success.

Do you like working at a place where you are encouraged to grow, learn, and make an impact? We care deeply about building an inclusive team culture where everyone’s voice is heard because we believe the diversity of opinion helps us learn fast and build products for the world. We are also extremely data driven and use data and experimentation to deliver exceptional experiences for our global customers.

The ideal candidate should be self-directed, passionate about data, and focused on delivering the right results. The candidate should be able to apply programming acumen and a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in a concise and effective manner. Technical aptitude, programming, reporting/data visualization and data science skills are necessary in this role. The candidate should also be an effective communicator capable of independently driving issues to resolution and communicating business insights to both technical and non-technical audiences. The role requires incubating, developing, testing and iteratively improving on data analyses to provide key insights that will shape product actions improve customer experience, and usage of the product(s).
Responsibilities
Develop the tools to best drive insights across the breadth of the Outlook as a Service products through both aggregate and real time data streams.
Analyze and validate data using statistical and data visualization tools to understand user behaviors across all products and services and empower decisions for product managers, designers, and marketers.
Define and implement technical metrics and measurement development for the product portfolio.
Prepare deep-dive analyses for Outlook as a Service products including investigations on telemetry and data quality.
Explore and build new tools to model, test, and drive innovation across our business and customer experiences.
Champion the use of data analysis and data science practices across all aspects of our product and service portfolio and across our business engagements.
Help further drive our culture of learning through fostering exploration and discovery.
Qualifications
Relevant work experience in data-analysis, finance/business analytics related roles.
Are able to break down complex business and technical problems into opportunities for analytical study.
Have extensive knowledge and experience in data science including expertise in one or more of: finance analysis, business/customer intelligence, machine learning, big data/data mining, statistics, data modeling, information theory, or a similar field.
Expertise in analyzing big data (structured and unstructured) using statistical and data modeling tools such as SQL, C#, Python, R as well as data visualization with Power BI, Tableau, SPSS or similar analytic software.
Are inherently curious, energized by large challenges, and interested in making a significant impact on a globally scaled business.
Demonstrate strong communications and storytelling skills, and the ability to work across teams, executives, and subject matter experts to drive results.
Are a tenacious problem solver that is comfortable with ambiguity and builds collaborative parternships.


Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.


Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",""
"1579719040-3292","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=30","Business Analyst/ Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DqGgu-faEbBWMchzyPLP9Vj4J3N3T6jUHOrZsFY-BAIG0hzx8_GP5VWPiksXlisx80xvIN9xHbYParqoZFwPGmdHLslsvSgEboQd1NG5KCXw0Vn-DZr8RlfjXrV-6kC1JLg33QK2v-VDbMI_QuAm7ODk0L8Mu4QBfmyeSkO6U8WAuhDTphu_Z_ML57NWP_I1N1_HtnTTzfNMIvau8IDsHDuedvAl_oMSdzzYhx8N6DLXWHqRdpTpHJXwl9thHg3l9eOpyI-06kPYVMzjWYohSo_UPnCZ6N-ihQFnbhBqZOkkyCCmMuqn5ArjkwhToHy4uhsP2d1ziMVZKGtoZEAOLX4pwKDA957e8siWA0r1aDw7qM4cgfmif8_fMwjRUyZSEMwGsUWbmwvco4ny4xeeRpek9LOigjw8fgQ01VD9PGyA==&p=0&fvj=0&vjs=3","","","","Business Analyst/ Manager"
"1579717953-2842","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=100","Sr Inv Optimization Manager","https://www.indeed.co.in/rc/clk?jk=71eec72410f37693&fccid=15f43d82dc901ff2&vjs=3","","Bengaluru, Karnataka","",""
"1579718728-3129","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=50","Predictive Modeling and Optimization Consultant( R/Python) -...","https://www.indeed.co.in/rc/clk?jk=a9e70b0f7f43f4f0&fccid=c4eaa37113eba406&vjs=3","BRIDGEi2i Analytics Solutions7 reviews","","",""
"1579718665-3103","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=60","Sr Inv Optimization Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lbWZjsewbtNWopVSTe8KwCmX-alOxNcJ_UEfKUayrvb9qhTuORxuNFT1vLi8CP1yLDUT17pjwePvIPbBDVb5fNXJ1hvhl3hy-pITsRFjnaDca8VxcHQ4byLYJKW2MP4vtSvcBurpXygjo1ILjgOB9Pd6OTC3vJSnybQpTDymlnqo6Yt2YEfJKc7z6hU57TZK55qNgC4TF8JtogHPQcGeSmG9IowjkjIEniHPZOkS9mM6z-SDLRo-wcCFS3SujSbO7LdzjZJr6Dwn4mBGTafFOXmLpJ1CWIisuMjUx7VXSNYlnfzh3in0ZCEyIzzSFy6OQPJPoo0nBQ1SNfzV4l4KlSYAboewYKD1cKWT9aQVHhIi02JXx1Pd4QUlZOMmey-WqLkItu3z-zPgTOiIdFgdBP8VK3Yw29GCOrPhYqJXoVUpNuRLiPFDCkBndVnGkY2TGMmej0ymk_29sdLdgSZKUclORmkb-PmHmyI13LbUM-eOM_sdN96l04TDZBZyoq-SvF6OMDDUznTUGK4JputeDOWJhQAYsex5GJCtj4VPGtkLIOo7yVKEBM1eJ2oLZsIybQvLMpJEU3ZzhoQTSEXmsAvI_7zGCK2zDDguKacsRTjDkiDUjPGW2g194vQ1zVzLCbpw3w2aBjDn-OkWSASBcLitELPbDbr14471a_CWuTDvjgLUv8-TndFJY4YrgTQzL5YgyMMuKXTW0eGJe-xwKQhJswnX7raHUikk2rLy1GBkZ7jjfRRefxLf1gNBZQc8j0gyKVaNvsQnaK2GRRe2AEhDPnoR5RkFnKSzYaKrK2rRis8PXIc85LL1fG16R5PN6EJ0oO6ta2sU1iLiVVp6sCUGj9lFERpn4cQQ7r2mAPaYkym1gUGXg5-SwaSMKS6D4ddNWciIsb4k8VzwA6dtjc8004SDWI0EfA1B_7OsaXV9A==&p=0&fvj=0&vjs=3","","","Description:

PRIMARY FUNCTION :

The Inventory Planning Control team is responsible for defining and operating Target’s Inventory Planning and Control (IPC) systems and coming up with the overall inventory strategy. This team is responsible for defining the system that Inventory mangers will use to get recommended order quantity, strategizing how the company should manage its multi-echelon inventory network, implementing automated ordering, deciding how much inventory to buy, when to bring inventory into the Target network, and where to position it. The IPC team innovates and continuously improves processes that result in sophisticated, intelligent and selflearning models. This role will be within the Inventory Health pillar of IPC, specifically responsible for providing research and analysis to support initiatives to drive the efficiency of Target’s supply chain. This role identifies and uses optimal statistical, simulation and modeling techniques to provide insight to its IPC team to deliver on IPC’s supply chain transformation objectives.



PRINCIPLE DUTIES AND RESPONSIBILITIES



1. Understands Target’s supply chain data across dot com and store channels.



2. Based on data, learns the current status of supply chain and is able to align with the leadership vision for longer term strategy.



3. Works with other optimization managers to analyze opportunities, quantify scope for improvement and define core areas of focus to improve guest experience and cost to serve in Target’s supply chain.



4. Conducts mathematical modeling, simulation and statistical approaches to clearly define problems, build solutions and recommend next steps to the IPC lead team.



5. Builds root cause analysis and reporting to provide specificity/detail in analytical output(s) to drive deep understanding of the problems/defects and action across core process teams and partners.



6. Provides necessary information for and participates in pilot engagements to demonstrate business opportunities and ensures succession to standard process/practice where appropriate.



7. Works closely with data science and engineering teams to help deploy new algorithmic solutions to support inventory planning and control. Has the passion to engage in deep analytical, algorithmic work while staying connected to the core business teams



REQUIREMENTS:


MS/PhD in a quantitative disciple such as statistics, operations research, business analytics or mathematics
2+ years of supply chain industry experience for candidates with MS, supply chain research experience for candidates with PhD
Experience utilizing problem solving and analytical skills
Familiarity with supply chain concepts such as forecasting, planning, optimization, and logistics - gained through work experience or graduate level education
Familiarity with statistical tools such as SAS, R, SPSS and with scripting languages such as Python for analyzing data and building prototypes
Knowledge of statistics and data mining techniques and tools to analyze and make insights from big data such as historical sales data and simulation/experiment results  Technical aptitude for the design and use of complex logistics software systems  A strong passion for empirical research and for answering hard questions with data  Ability to communicate complex concepts in easy to understand terminology with multiple audiences.

Qualifications:",""
"1579718247-2917","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=90","Analytics","https://www.indeed.co.in/rc/clk?jk=d42cc785d7c3d4e9&fccid=2a927f21d1372bd7&vjs=3","Netscribes21 reviews","","",""
"1579718600-3046","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=60","Lead Inv Optimization Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lbWZjsewbtNWmwG6KJF5T-0kJgXb98N1PYDAN21HcXDbSQsbVDWnHmZ30JCiRbTWEVc2f5Pm86LTuTtj-FbCpqZ9-axLkcF6joIaSdX3zznAnc63OAsv6H8J01a9FTIHzUhhGQ6syDylJF_HfabAr_rYZkQkPw7RsY-G_Sa9wvwF6tfGAKbpBSJSiKxD8aiZL2Tdsrg9wiG4WqslUVF9ZbcN8vrroqnnf7yBL-a6RQO5S-wj4oEnTn_2-s-XWHqHske35Ce3rm_wV6ChYkl9rqT1R7zHoKhcuLumfxI1sYldjLBbzbLehe1yiSLwHJdDmDVZzELO895JJbFU3k4XJdLStP3wFqGMQV9XxPSN_feSSPzxMa9IUAbRrvMfNviKco2mHTQT0PgoDRfqK9wHXj6X29Fvvw8BIiaSEckVCI2u6fL9SVfjVapF4oKV3IYWQFhsKN30jLrajmaADRq2GbE1WsjC2O1o6XLxBFdJszy-173aHSf5MRiNoIj8feHK4xFQVdv9HX4NBgmuxKDRfts2KzcUxhXN1N3MxgGK4XaqCmjVANox-36WyZiEjk4ToRppp-Cs3ZRfcZL6fmjAHGV9Bl1aV46vRVJWhyVyKmzHRxIOpFxUNSsiSGY3fra2cW7CNtw_RkVmynlaVQbG1yEmv_fvYb-KCESOsqqBsIppLSZwUK-3kXLzjEm0q2vcQxAijuHNHyobFsPX_UqK4kFmHx_h0ToQZacmlfVyGfCUKe7cqUIZ1-nY_mhZWTdbR_cH5WQQ9ciMaN5Kk598ZZti5nPtH0z4J7uhBXPhl01EQOG1hjHIyn0sMhe1iU8Hy1-GgsTlwDCaTZMaMzB6Hh72ir6EKqCHGZyg1guwRlKHHdE8CzKhfYargLLS1cG7k4ge3KsFZ3FfMK77KkH-i5qzv72h289cDPrOR8H5RAVMQ==&p=14&fvj=0&vjs=3","","Bengaluru, Karnataka","",""
"1579718929-3243","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=30","Head -Analytics","https://www.indeed.co.in/rc/clk?jk=b99df4c8dbe418d0&fccid=1423d199c5fb5acb&vjs=3","","","Role and Responsibilities



To provide a clear, strategic vision and a plan for bringing actionable, innovative analytic solutions to the brand. This position will be responsible for end-to-end management of complex analytic/modeling projects, including designing and developing different segmentation strategies and business rules. The role is a mix of project management, internal client consulting, strategy development and people management within the team.



In-depth understanding of using various analytics software, worked in a role involving heavy data crunching and insight generation & a very good understanding of how to link data insights to business objectives.
Must have demonstrated ability to convert insights into actionable initiatives leading to measurable business benefits like Revenue increase, adept at Statistical modeling, should be able to work with and manage highly skilled resources with following technical capabilities, SQL, BI tools, Statistics, MS Excel, SAS etc.
Must have a very good understanding of how structured databases work and how the BI technical background is managed.
The role supports the overall business strategy by directing various activities of marketing including, branding, digital marketing, shopper marketing, PR, new product development, business analytics and loyalty programs through guided market and consumer research.
Implementing the digital customer experience strategy which included among others endless aisle, social media marketing, influencer marketing, content marketing, marketing automations, personal shopper program with data intelligence, mobile based net promoter score system and digitization of the loyalty program.
Developing the business analytics strategy and built customer centric campaigns which, resulted in an increase in share of business by loyalty members across the enterprise and including for both stores and online channels
Leveraged social media data to measure and manage channel, content and media performance
Driving business outcomes based on understanding of the customer purchase through business analytics and customer lifecycle management.
Introducing the business analytics and customer insights practice within the organization
Handling the team & mentoring them in Research, Analytics
Evaluating ROI on initiatives taken
Defining SOPs for CRM & Loyalty Operations
Initiating discussion & closing in partner / vendor alliances as per requirement. Executing all advertising and Direct Marketing communication with the Loyalty Program
Built strategic external alliances and partnerships with vendors to boost consumer advantages beyond the normal discounts and offers
Implemented data analytics enhancing acquisition of new members, revenue generation targeting and upward migration of members across the value chain.",""
"1579718608-3056","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50&start=60","Chatbot Conversation Designer","https://www.indeed.co.in/rc/clk?jk=e04af5bbd51287ad&fccid=4be57509a4916871&vjs=3","","","","Chatbot Conversation Designer"
