web-scraper-order,web-scraper-start-url,job_title,job_title-href,job_compay,job_location,job_description,title
"1579460170-4693","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Manager | Senior Business Analytics Manager","https://www.indeed.co.in/rc/clk?jk=4f40ec867bd961b0&fccid=95fa2b94b684ec6b&vjs=3","","Bengaluru, Karnataka","",""
"1579460193-4724","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analyst/ Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DqGgu-faEbBWMchzyPLP9Vj4J3N3T6jUHOrZsFY-BAIG0hzx8_GP5VWPiksXlisx80xvIN9xHbYParqoZFwPGmdHLslsvSgEboQd1NG5KCXw0Vn-DZr8RlfjXrV-6kC1JLg33QK2v-VDbMI_QuAm7ODk0L8Mu4QBc4aQEqzwzZqyX_GoiZ9W5UjRAe7z7KRaci7ABtv7ZTFgNzxcBMPvp0I95nvTv0l1ze_05BdIYWX6ujS5sAIibS6WIzY-7r6dX3x_XCrMcRgvqGbJmYMxO3vDto74xC8oFBOF5bOl6eJ0Aoo1d20iUf0b7QSM3wP0Rx8hMIV616mdADxySpLWM9f6o-TnkxuI6vT0Cu5tJ-HuGdxMsDzgRkqXmEV-5S6XjQ7nv3HiGqApcri9fzQk5MUq8cv6lT5qqRZbB3MRnR2g==&p=1&fvj=0&vjs=3","Sutherland6,446 reviews","","",""
"1579460158-4678","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Data Scientist","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DdajEbCx-KXIxdKnFi7XLqE9Qtjjzr22qLs4cyUK8MQF4nVAY29gg5zMlraYgZpSPvyDiNxWKulPlE1J0TmJQ5WH7p1JJwz6Upyx2QE1NpLRlf0BP-FvUikJXY3BigFQlVc10vnNLytl77bWpYcUGtTVEYD3r7P_PiKSwQm-3OMKmCFYw16OBvRSFhUU1d_aodblpOz4uGdNlkvScM8axYkF-kP6pAkOL0igvjIsxE_1h8QDH2MpuZ_kzay6Q68p2qLvv59X00UOgBgcpw2PTqv-VbJw9uoXar_E1_x5GM1Wywwm1wBBtq9VBkCIFGjkz_zJMX_m1bW_GXn93M-Z-Ju-Ni_2x4jImb-ajJ4VYZv6UlsHrDyDjEPz7T7ahSDwBtKkscV4_FAipnnwSIx7QyaOjsM9Oa_OV8SKb7JTcQaw_5qCviN6Y5&p=13&fvj=1&vjs=3","","","Job Summary
Job Summary
- We are looking for an experienced Senior Data Scientist with extensive predictive Modeling and machine learning experience to join our Analytics and Insights Team, which applies advanced Data Science (DS), Artificial Intelligence (AI) and Machine Learning (ML) to produce solutions that drive marketing optimization and sales growth.
- Using state of the art AI tools, DS platforms, ML libraries, and optimization tools, we leverage internal, external, online and offline data sources.
- The person in this role would be responsible for conducting data analysis and developing predictive models leveraging data science and machine learning to solve various business use cases, including marketing intelligence, customer segmentation, and predictive models for sales and marketing organization. We are looking for a candidate who will support our product, sales, leadership and marketing teams with insights gained from analyzing the company and external data.
- Who can communicate with others with a statistical mindset, and can conduct exploratory analysis during data preparation and beyond.
- The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action.- They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations.- They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams.- The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities and Duties
Responsibilities and Duties
- Understand the business problem in Global B2B marketing and sales analytics domains to create value for the business, clients, customers, and providers, and identify critical questions that can be answered with AI or DS.
- Scrub, clean, prepare and browse the data: fill in missing data values, determine outliers, regularize and normalize the data (e.g., names), engineer features, and transform it into a more useful form.
- Explore and visualize the data using tools such as Python modules including pandas, matplotlib, bokeh, and Seaborn, Tableau, and Looker.
- Build, evaluate, and document the models
- Generate plausible explanations for presentation to stakeholders and deployment.
- Communicate results and ideas to key decision-makers
- Work with data engineers to deploy the models, build data pipelines, and scalable systems.
- Work with stakeholders to identify opportunities for leveraging company data to drive business analytics solutions.
- Research and develop statistical learning models for data analysis
- Identify valuable data sources and automate collection processes-
- Undertake preprocessing of structured and unstructured data
- Analyze large amounts of information to discover trends and patterns
- Build predictive models and machine-learning algorithms
- Present information using data visualization techniques
- Collaborate with sales, marketing, and senior executive teams
Qualifications and Skills
Required Experience, Skills and Qualifications
- Minimum 3-5 years of relevant experience
- MS/Ph.D. in Computer Science, Math, Statistics, or in any technical field that provides a solid basis for analytics or equivalent work experience
- Excellent understanding/experience with leading machine learning methods such as neural networks, deep learning, KNN, Naive Bayes, SVM, Lasso Regression, Elastic Net Regression, Boosting and Bagging Random Forest, XGBoost, Association Rules, Cross-Validation Method, and Unsupervised Learning and their real-world advantages/drawbacks.
- Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
- Experience with Hive and database access languages such as SQL and storage platforms such as S3.
- Experience with distributed computing platforms such as Hadoop and Spark is a plus.
- Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
- Experience using advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications.
- Experience using business intelligence tools (e.g. PowerBI, Tableau) and data frameworks (e.g. SAS, Tera Data, Hadoop)
- Strong problem-solving skills with an emphasis on sales and marketing predictive analytics.
- Excellent written and verbal communication skills for coordinating across teams.
- A drive to learn and master new technologies and techniques.
Job Type: Full-timeJob Type: Full-timeExperience:work: 3 years (Preferred)total work: 3 years (Preferred)Education:Bachelor's (Required)",""
"1579460193-4725","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analyst/ Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DqGgu-faEbBWMchzyPLP9Vj4J3N3T6jUHOrZsFY-BAIG0hzx8_GP5VWPiksXlisx80xvIN9xHbYParqoZFwPGmdHLslsvSgEboQd1NG5KCXw0Vn-DZr8RlfjXrV-6kC1JLg33QK2v-VDbMI_QuAm7ODk0L8Mu4QBc4aQEqzwzZqyX_GoiZ9W5UjRAe7z7KRaci7ABtv7ZTFgNzxcBMPvp0I95nvTv0l1ze_05BdIYWX6ujS5sAIibS6WIzY-7r6dX3x_XCrMcRgvqGbJmYMxO3vDto74xC8oFBOF5bOl6eJ0Aoo1d20iUf0b7QSM3wP0Rx8hMIV616mdADxySpLWM9f6o-TnkxuI6vT0Cu5tJ-HuGdxMsDzgRkqXmEV-5S6XjQ7nv3HiGqApcri9fzQk5MUq8cv6lT5qqRZbB3MRnR2g==&p=1&fvj=0&vjs=3","","Hyderabad, Telangana","",""
"1579460181-4709","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analytics Internship","https://www.indeed.co.in/rc/clk?jk=d960a9e9127b30f5&fccid=9ccd90e7721aa0ab&vjs=3","","Bengaluru, Karnataka","",""
"1579460172-4699","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analytics consultant (Advance Analytics)","https://www.indeed.co.in/rc/clk?jk=47cfd0008b720653&fccid=6742d0c4775028dd&vjs=3","","","","Business Analytics consultant (Advance Analytics)"
"1579460167-4689","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Concur-Business Analyst","https://www.indeed.co.in/rc/clk?jk=f61ac44b07442305&fccid=8d25321c1defe73f&vjs=3","","Bengaluru, Karnataka","",""
"1579460170-4692","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Manager | Senior Business Analytics Manager","https://www.indeed.co.in/rc/clk?jk=4f40ec867bd961b0&fccid=95fa2b94b684ec6b&vjs=3","Cerner Corporation1,452 reviews","","",""
"1579460162-4681","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Head - Business Analytics","https://www.indeed.co.in/rc/clk?jk=603e1edb16fc7ce0&fccid=4d4dc796bd7ac23e&vjs=3","","Hyderabad, Telangana","",""
"1579460181-4711","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analytics Internship","https://www.indeed.co.in/rc/clk?jk=d960a9e9127b30f5&fccid=9ccd90e7721aa0ab&vjs=3","","","","Business Analytics Internship"
"1579460186-4716","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analytics Consultant","https://www.indeed.co.in/rc/clk?jk=e40601f41f2e2293&fccid=f8c591fec900fe57&vjs=3","Logix Microsystems7 reviews","","",""
"1579460175-4700","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Analytics Practice Lead - Business Analytics","https://www.indeed.co.in/rc/clk?jk=f7df5dc70ca8e113&fccid=e4af9ca5b6d3a604&vjs=3","Philips3,408 reviews","","",""
"1579460170-4695","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Manager | Senior Business Analytics Manager","https://www.indeed.co.in/rc/clk?jk=4f40ec867bd961b0&fccid=95fa2b94b684ec6b&vjs=3","","","","Manager | Senior Business Analytics Manager"
"1579460175-4701","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Analytics Practice Lead - Business Analytics","https://www.indeed.co.in/rc/clk?jk=f7df5dc70ca8e113&fccid=e4af9ca5b6d3a604&vjs=3","","Bengaluru, Karnataka","",""
"1579460164-4686","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Intermediate analyst - business analytics","https://www.indeed.co.in/rc/clk?jk=1cf23ac8ad2b2c8e&fccid=5bcd1ef0a7f4fb99&vjs=3","","","The Spec Analytics Intmd Analyst will be part of the commercial banking analytics team within the Analytics and Information Management (AIM) team in India.
The Spec Analytics Intmd Analyst will independently handle analytics requirements and have the aptitude to solve complex problems. Will apply analytical thinking and knowledge of data analysis tools and methodologies. Will have the right attention to detail when making judgments and recommendations based on the analysis of factual information. Will apply professional judgment when interpreting data and results and break down information in a systematic and communicable manner. Will have excellent communication skills to exchange potentially complex/sensitive information
Responsibilities:
Analytics project execution
Ability to manage & develop analytic solutions to deliver on complex projects Measure & Own the business impact of work, Set and manage partner expectations, Manage timeliness around project priorities
Improves business processes to drive efficiencies Is able to coach/ mentor junior team members on theory/ practical applications of relevant tools & techniques
Business Knowledge
Develop business context and knowledge. Proactively seek out best practices and adopt the same in day to day functioning.
Communication:
Independently manage communication with Global partners Team work:
Collaborate with colleagues to leverage best practices
Qualifications:
4-7 years relevant experience
Have the ability to retrieve and manipulation data
Possess analytic ability and problem solving skills
Working experience in a quantitative field
Willing to learn and can-do attitude Excellent communication and interpersonal skills, be organized, detail oriented, flexible and adaptive to matrix work environment
Ability to build partnerships with cross-function leaders Experience in big data environments - Hadoop, HIVE, Scala as well as RDBMS - Teradata / Oracle etc.
Exposure to machine learning / deep learning algorithms and expertise in Python / Pyspark / R etc.
Experience / knowledge of corporate / commercial banking industry will be an added advantage
Education:
Masters in Computer Science, Mathematics, Operations Research, Statistics, Econometrics, Economics, Business Administration, Management Science and related fields
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - IN
-
Time Type :
-
Citi is an equal opportunity and affirmative action employer.

Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity .
To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement .

To view the EEO Policy Statement .

To view the Pay Transparency Posting .",""
"1579460158-4676","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Data Scientist","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DdajEbCx-KXIxdKnFi7XLqE9Qtjjzr22qLs4cyUK8MQF4nVAY29gg5zMlraYgZpSPvyDiNxWKulPlE1J0TmJQ5WH7p1JJwz6Upyx2QE1NpLRlf0BP-FvUikJXY3BigFQlVc10vnNLytl77bWpYcUGtTVEYD3r7P_PiKSwQm-3OMKmCFYw16OBvRSFhUU1d_aodblpOz4uGdNlkvScM8axYkF-kP6pAkOL0igvjIsxE_1h8QDH2MpuZ_kzay6Q68p2qLvv59X00UOgBgcpw2PTqv-VbJw9uoXar_E1_x5GM1Wywwm1wBBtq9VBkCIFGjkz_zJMX_m1bW_GXn93M-Z-Ju-Ni_2x4jImb-ajJ4VYZv6UlsHrDyDjEPz7T7ahSDwBtKkscV4_FAipnnwSIx7QyaOjsM9Oa_OV8SKb7JTcQaw_5qCviN6Y5&p=13&fvj=1&vjs=3","Analytics Saves At Work India Pvt Ltd.","","",""
"1579460193-4727","https://www.indeed.co.in/jobs?q=""business+Analytics""&l=India&radius=50","Business Analyst/ Manager","https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DqGgu-faEbBWMchzyPLP9Vj4J3N3T6jUHOrZsFY-BAIG0hzx8_GP5VWPiksXlisx80xvIN9xHbYParqoZFwPGmdHLslsvSgEboQd1NG5KCXw0Vn-DZr8RlfjXrV-6kC1JLg33QK2v-VDbMI_QuAm7ODk0L8Mu4QBc4aQEqzwzZqyX_GoiZ9W5UjRAe7z7KRaci7ABtv7ZTFgNzxcBMPvp0I95nvTv0l1ze_05BdIYWX6ujS5sAIibS6WIzY-7r6dX3x_XCrMcRgvqGbJmYMxO3vDto74xC8oFBOF5bOl6eJ0Aoo1d20iUf0b7QSM3wP0Rx8hMIV616mdADxySpLWM9f6o-TnkxuI6vT0Cu5tJ-HuGdxMsDzgRkqXmEV-5S6XjQ7nv3HiGqApcri9fzQk5MUq8cv6lT5qqRZbB3MRnR2g==&p=1&fvj=0&vjs=3","","","","Business Analyst/ Manager"
